"status"	"zero_fraction"	"response_sd"
"convergence_warning"	0.955555555555556	5.71211334769856e-05
"insufficient_nonzero"	0.977777777777778	NA
"numerical_failure"	0.955555555555556	5.65977214492794e-05
"ok"	0.711111111111111	0.000109529146145938
