model	fitted_features	significant_features	estimate_spearman	primary_sign_concordance	primary_significant_retained	significant_jaccard	top100_overlap
patient_median	40845	3668	0.999173828421161	1	0.988834422657952	0.978970072795902	98
patient_cell_weighted	41718	3672	0.998456706713452	1	0.970588235294118	0.942857142857143	93
