min_cells_sr	completed_samples	median_record_retention	fitted_features	significant_features	estimate_spearman	primary_sign_concordance	primary_significant_retained	significant_jaccard	top100_overlap
5	45	0.952961373390558	39191	3876	0.965461244319041	1	0.937091503267974	0.837837837837838	87
10	45	0.894173602853746	37026	4135	0.93290450150996	0.99917695473251	0.885893246187364	0.714317083882301	68
20	45	0.80692417739628	34027	4331	0.874510134893065	0.997233748271093	0.797930283224401	0.577567514291346	58
